0.001,-6.0206
0.00199,-6.0206
0.00298,-6.02059
0.00397,-6.02058
0.00496,-6.02057
0.00595,-6.02056
0.00694,-6.02055
0.00793,-6.02053
0.00892,-6.02051
0.00991,-6.02049
0.0109,-6.02047
0.01189,-6.02045
0.01288,-6.02042
0.01387,-6.02039
0.01486,-6.02036
0.01585,-6.02033
0.01684,-6.02029
0.01783,-6.02025
0.01882,-6.02022
0.01981,-6.02017
0.0208,-6.02013
0.02179,-6.02008
0.02278,-6.02004
0.02377,-6.01999
0.02476,-6.01993
0.02575,-6.01988
0.02674,-6.01982
0.02773,-6.01977
0.02872,-6.0197
0.02971,-6.01964
0.0307,-6.01958
0.03169,-6.01951
0.03268,-6.01944
0.03367,-6.01937
0.03466,-6.0193
0.03565,-6.01922
0.03664,-6.01914
0.03763,-6.01906
0.03862,-6.01898
0.03961,-6.0189
0.0406,-6.01881
0.04159,-6.01872
0.04258,-6.01863
0.04357,-6.01854
0.04456,-6.01844
0.04555,-6.01835
0.04654,-6.01825
0.04753,-6.01815
0.04852,-6.01804
0.04951,-6.01794
0.0505,-6.01783
0.05149,-6.01772
0.05248,-6.01761
0.05347,-6.0175
0.05446,-6.01738
0.05545,-6.01726
0.05644,-6.01714
0.05743,-6.01702
0.05842,-6.01689
0.05941,-6.01677
0.0604,-6.01664
0.06139,-6.01651
0.06238,-6.01637
0.06337,-6.01624
0.06436,-6.0161
0.06535,-6.01596
0.06634,-6.01582
0.06733,-6.01568
0.06832,-6.01553
0.06931,-6.01538
0.0703,-6.01523
0.07129,-6.01508
0.07228,-6.01493
0.07327,-6.01477
0.07426,-6.01461
0.07525,-6.01445
0.07624,-6.01429
0.07723,-6.01412
0.07822,-6.01396
0.07921,-6.01379
0.0802,-6.01361
0.08119,-6.01344
0.08218,-6.01327
0.08317,-6.01309
0.08416,-6.01291
0.08515,-6.01273
0.08614,-6.01254
0.08713,-6.01235
0.08812,-6.01217
0.08911,-6.01198
0.0901,-6.01178
0.09109,-6.01159
0.09208,-6.01139
0.09307,-6.01119
0.09406,-6.01099
0.09505,-6.01079
0.09604,-6.01058
0.09703,-6.01037
0.09802,-6.01016
0.09901,-6.00995
